Temperature,Humidity,Storage_Type,Days_Since_Harvest,Transport_Duration,Packaging_Quality,Month_num,Commodity_name,Spoilage_Risk,Commodity_Category
27.5,88.1,cold_storage,3,7.9,poor,1,Bajra,1,Staple Grains
20.3,86.8,open_air,5,3.2,poor,3,Bajra,2,Staple Grains
33.1,66,room_temperature,5,19.5,average,6,Bajra,2,Staple Grains
23.1,68.3,room_temperature,3,13.7,average,3,Bajra,1,Staple Grains
26.1,72.2,cold_storage,13,6.9,good,5,Bajra,0,Staple Grains
36.2,56.4,room_temperature,11,4.2,average,5,Bajra,2,Staple Grains
29.7,78.1,open_air,6,4.9,good,2,Bajra,1,Staple Grains
36.9,58,room_temperature,13,18.9,average,2,Bajra,2,Staple Grains
29,59.9,room_temperature,1,11.8,good,7,Bajra,1,Staple Grains
32.2,86.9,cold_storage,12,5,average,8,Bajra,2,Staple Grains
35.4,64.8,room_temperature,13,16,average,9,Bajra,2,Staple Grains
21.6,68.5,open_air,5,15.4,poor,8,Bajra,2,Staple Grains
30.9,84.5,room_temperature,3,23.3,good,3,Bajra,1,Staple Grains
32.1,69.9,room_temperature,4,21.7,average,6,Bajra,2,Staple Grains
24.6,61.2,room_temperature,3,3.4,good,8,Bajra,0,Staple Grains
28.3,78.3,open_air,10,15,average,12,Bajra,2,Staple Grains
32,73.7,cold_storage,12,24.7,average,4,Bajra,2,Staple Grains
26,79,open_air,9,22,poor,5,Bajra,2,Staple Grains
32,76.1,room_temperature,14,13.4,average,11,Bajra,2,Staple Grains
23.6,86.5,cold_storage,11,18.7,average,4,Bajra,1,Staple Grains
26.1,80.5,cold_storage,6,21.9,poor,11,Bajra,1,Staple Grains
26.9,78.8,cold_storage,11,24.7,average,1,Bajra,1,Staple Grains
21.1,58.2,room_temperature,5,17.7,average,6,Bajra,1,Staple Grains
32.3,73.5,room_temperature,6,13.9,average,10,Bajra,2,Staple Grains
31.5,77,room_temperature,5,18.2,good,11,Bajra,1,Staple Grains
27.8,74.7,room_temperature,7,18.3,average,12,Bajra,1,Staple Grains
23.2,77.5,cold_storage,7,24.3,poor,8,Bajra,2,Staple Grains
36.3,67,room_temperature,2,10.9,poor,2,Bajra,2,Staple Grains
32.3,67.5,cold_storage,4,15.3,average,2,Bajra,0,Staple Grains
27,63.4,room_temperature,10,14.4,good,11,Bajra,1,Staple Grains
32.8,73.5,open_air,5,14,average,4,Bajra,2,Staple Grains
20.6,69.7,room_temperature,4,5.8,poor,6,Bajra,1,Staple Grains
28.9,70.7,open_air,5,4.1,poor,4,Bajra,2,Staple Grains
28.6,79.1,room_temperature,4,16.8,average,5,Bajra,1,Staple Grains
32,85.8,cold_storage,13,14.6,average,2,Bajra,1,Staple Grains
24.1,89.4,open_air,8,5.1,good,12,Bajra,2,Staple Grains
33.3,85.3,open_air,5,9.8,average,9,Bajra,2,Staple Grains
21.9,76.9,room_temperature,9,6.5,average,7,Bajra,1,Staple Grains
29.1,71.8,room_temperature,4,5.8,average,1,Bajra,0,Staple Grains
21.5,83.4,room_temperature,14,5.5,poor,12,Bajra,2,Staple Grains
24.3,73.9,room_temperature,8,6.1,average,5,Bajra,1,Staple Grains
35.9,64.9,room_temperature,3,23.2,average,6,Bajra,2,Staple Grains
30.9,64.9,cold_storage,6,11.2,average,7,Bajra,1,Staple Grains
22.2,75.9,room_temperature,12,12.1,poor,9,Bajra,2,Staple Grains
31.2,64.3,room_temperature,9,18.4,average,8,Bajra,2,Staple Grains
26.1,87.8,room_temperature,13,12.1,good,4,Bajra,2,Staple Grains
36.5,58.2,room_temperature,14,24.1,poor,9,Bajra,2,Staple Grains
21.4,80.3,cold_storage,9,15,average,11,Bajra,0,Staple Grains
23.2,66.5,cold_storage,13,14.5,good,11,Bajra,0,Staple Grains
23.4,85.9,open_air,5,8.9,good,11,Bajra,1,Staple Grains
22.1,57.7,room_temperature,14,22.7,poor,2,Bajra,2,Staple Grains
24.3,81.7,cold_storage,5,14.1,average,8,Bajra,1,Staple Grains
23.5,61.1,open_air,2,13.7,poor,9,Bajra,2,Staple Grains
31.5,64.7,room_temperature,5,5.4,average,11,Bajra,1,Staple Grains
36.8,77.5,cold_storage,12,4.9,average,3,Bajra,2,Staple Grains
22.7,77.5,cold_storage,2,18.2,poor,10,Bajra,1,Staple Grains
31.6,69.1,open_air,12,17.6,average,4,Bajra,2,Staple Grains
30.4,73.3,cold_storage,12,23.9,good,9,Bajra,1,Staple Grains
29.1,89.6,open_air,11,11.1,average,3,Bajra,2,Staple Grains
25.1,79.8,room_temperature,13,13.9,average,10,Bajra,2,Staple Grains
34.5,70,room_temperature,12,11.2,poor,7,Bajra,2,Staple Grains
35.8,87.9,room_temperature,11,7.3,average,2,Bajra,2,Staple Grains
34.2,88.8,open_air,12,23.3,average,9,Bajra,2,Staple Grains
29.6,79.5,cold_storage,7,18.5,average,5,Bajra,0,Staple Grains
36.1,56.3,cold_storage,9,9.3,average,5,Bajra,2,Staple Grains
32.1,71.9,room_temperature,2,12.6,good,12,Bajra,1,Staple Grains
30.8,72.5,room_temperature,2,4.8,good,1,Bajra,0,Staple Grains
31.5,74.5,open_air,12,22.2,average,3,Bajra,2,Staple Grains
20.9,87.3,open_air,10,18,poor,10,Bajra,2,Staple Grains
22.3,56.6,room_temperature,12,20.5,poor,2,Bajra,2,Staple Grains
22.1,82.4,room_temperature,1,9,good,6,Bajra,0,Staple Grains
30.7,59,room_temperature,2,21.9,good,1,Bajra,0,Staple Grains
26.6,67.8,room_temperature,14,24.2,good,3,Bajra,2,Staple Grains
28.3,68.6,room_temperature,14,3.5,average,10,Bajra,2,Staple Grains
22.7,67.4,cold_storage,11,21.2,average,7,Bajra,1,Staple Grains
30.3,84.5,room_temperature,14,23.3,good,7,Bajra,2,Staple Grains
24.8,85.6,cold_storage,8,18.9,good,1,Bajra,0,Staple Grains
26.1,63.1,open_air,8,24.4,average,4,Bajra,2,Staple Grains
26.2,72.2,room_temperature,1,23.6,poor,12,Bajra,2,Staple Grains
27.1,60.7,cold_storage,2,9.8,poor,3,Bajra,0,Staple Grains
21.9,62.7,cold_storage,6,4.3,poor,1,Bajra,0,Staple Grains
23,61.3,cold_storage,6,20.6,average,11,Bajra,0,Staple Grains
28.4,60.4,room_temperature,1,22.6,average,1,Bajra,1,Staple Grains
24.4,86.9,room_temperature,13,10.3,average,12,Bajra,2,Staple Grains
29.8,79.6,room_temperature,5,5.3,good,11,Bajra,0,Staple Grains
27.2,57.5,room_temperature,10,7.5,average,8,Bajra,2,Staple Grains
23.9,61.6,room_temperature,2,15.2,poor,12,Bajra,1,Staple Grains
27.2,88.4,room_temperature,7,14.5,average,5,Bajra,2,Staple Grains
24.3,72.2,cold_storage,4,8,good,1,Bajra,0,Staple Grains
22.6,79.3,open_air,9,20.8,average,8,Bajra,2,Staple Grains
31.5,63.4,cold_storage,7,24.1,poor,5,Bajra,2,Staple Grains
26.3,80.1,cold_storage,13,17.5,average,9,Bajra,2,Staple Grains
33.2,63.1,cold_storage,11,4.8,average,1,Bajra,1,Staple Grains
30.3,68,cold_storage,7,8.3,average,3,Bajra,0,Staple Grains
36.1,71.5,open_air,8,15.8,average,10,Bajra,2,Staple Grains
30.3,73.1,room_temperature,7,13.7,good,1,Bajra,1,Staple Grains
29.9,63.7,room_temperature,10,13.5,average,5,Bajra,2,Staple Grains
22.7,59.2,cold_storage,10,13.1,good,2,Bajra,0,Staple Grains
34.8,81.3,open_air,6,4.2,average,12,Bajra,2,Staple Grains
23.1,69.7,room_temperature,14,23.5,average,4,Bajra,2,Staple Grains
29.5,85,room_temperature,12,9.6,average,5,Bajra,2,Staple Grains
29.2,79.7,cold_storage,13,12.8,average,9,Bajra,1,Staple Grains
21.6,69.2,open_air,3,23.4,average,9,Bajra,2,Staple Grains
35.6,84.1,room_temperature,1,10.1,good,12,Bajra,2,Staple Grains
24,55,room_temperature,11,18.5,poor,8,Bajra,2,Staple Grains
35.6,70,cold_storage,3,22.8,good,10,Bajra,2,Staple Grains
21.5,79.6,open_air,9,11.2,average,12,Bajra,2,Staple Grains
21.9,58.8,cold_storage,12,8,good,12,Bajra,0,Staple Grains
26.7,76.6,open_air,12,4.3,average,9,Bajra,2,Staple Grains
25.2,64.3,cold_storage,4,15.1,poor,7,Bajra,1,Staple Grains
34.3,63.1,open_air,14,20.5,good,5,Bajra,2,Staple Grains
35.1,79.9,cold_storage,12,4.3,good,12,Bajra,1,Staple Grains
34.2,55.6,room_temperature,10,13.7,good,2,Bajra,2,Staple Grains
27.8,79.1,cold_storage,14,14.8,average,9,Bajra,2,Staple Grains
21.3,80.3,room_temperature,14,24.4,good,10,Bajra,2,Staple Grains
36.9,76,open_air,8,17.8,good,9,Bajra,2,Staple Grains
25.5,65.2,open_air,11,24.1,average,5,Bajra,2,Staple Grains
32.4,68.6,room_temperature,14,19.4,average,11,Bajra,2,Staple Grains
29.8,57,cold_storage,5,19.3,average,4,Bajra,0,Staple Grains
25,86.4,cold_storage,1,8.5,good,7,Bajra,0,Staple Grains
22.4,64.9,cold_storage,9,23.1,good,9,Bajra,0,Staple Grains
29.3,84.2,room_temperature,5,6.5,good,12,Bajra,0,Staple Grains
35.2,59.3,room_temperature,9,14.5,average,8,Bajra,2,Staple Grains
24.6,57.1,cold_storage,5,11,good,2,Bajra,0,Staple Grains
36.9,84.9,cold_storage,12,22.4,average,9,Bajra,2,Staple Grains
25.4,86.6,cold_storage,9,15.9,average,8,Bajra,1,Staple Grains
20.8,64,room_temperature,13,23.4,poor,4,Bajra,2,Staple Grains
29,58.1,room_temperature,6,15,good,8,Bajra,1,Staple Grains
25.3,78.5,room_temperature,7,12.6,poor,9,Bajra,2,Staple Grains
27.2,80.5,room_temperature,8,20.5,average,9,Bajra,2,Staple Grains
20.2,75.4,room_temperature,13,3.7,average,11,Bajra,1,Staple Grains
36.9,63.2,open_air,1,16.5,poor,3,Bajra,2,Staple Grains
36.8,75.1,cold_storage,6,22.4,good,4,Bajra,2,Staple Grains
23.6,80.2,cold_storage,6,17.6,good,11,Bajra,0,Staple Grains
30.7,68.1,room_temperature,8,20,poor,2,Bajra,2,Staple Grains
22.6,64.1,room_temperature,14,8.6,good,3,Bajra,1,Staple Grains
22,61.5,room_temperature,6,3.5,average,4,Bajra,0,Staple Grains
25.3,78.9,cold_storage,2,19.2,average,12,Bajra,0,Staple Grains
35.1,59.1,cold_storage,10,6.3,good,8,Bajra,2,Staple Grains
33.2,71.1,open_air,3,14.3,good,6,Bajra,2,Staple Grains
33.7,61.5,cold_storage,12,22.5,good,6,Bajra,1,Staple Grains
23.5,73.9,cold_storage,7,18.4,average,2,Bajra,0,Staple Grains
26.8,79.3,cold_storage,7,5.6,average,2,Bajra,0,Staple Grains
30.2,61.9,cold_storage,8,4.5,average,9,Bajra,1,Staple Grains
26.6,79,cold_storage,11,8.7,average,4,Bajra,0,Staple Grains
34.4,83.4,room_temperature,8,8,poor,1,Bajra,2,Staple Grains
32.5,77.3,room_temperature,13,9.8,average,1,Bajra,2,Staple Grains
27,61.4,cold_storage,10,22.8,average,9,Bajra,1,Staple Grains
34.6,77.5,room_temperature,3,7.8,average,1,Bajra,2,Staple Grains
34.6,73.1,room_temperature,1,8.8,average,3,Bajra,2,Staple Grains
21.9,57.1,room_temperature,8,4.5,average,1,Bajra,0,Staple Grains
31.9,67,cold_storage,6,7.8,average,9,Bajra,1,Staple Grains
34.8,64.2,open_air,9,18,good,1,Bajra,2,Staple Grains
31,80.6,room_temperature,9,21.5,average,10,Bajra,2,Staple Grains
29.2,74.8,room_temperature,13,12.8,good,12,Bajra,1,Staple Grains
27.9,71,cold_storage,8,3,average,6,Bajra,0,Staple Grains
23.7,83.7,open_air,12,17.9,average,4,Bajra,2,Staple Grains
22,66.5,cold_storage,2,23.4,average,1,Bajra,0,Staple Grains
25.7,79,room_temperature,9,23,average,10,Bajra,2,Staple Grains
36.1,63.1,open_air,6,12.3,average,6,Bajra,2,Staple Grains
36.3,59.4,cold_storage,3,15.6,good,8,Bajra,2,Staple Grains
27,76.1,open_air,14,22.2,poor,10,Bajra,2,Staple Grains
28.8,72.8,room_temperature,4,24.9,average,6,Bajra,1,Staple Grains
32.6,88.9,room_temperature,4,8.8,average,11,Bajra,2,Staple Grains
33.8,67.9,room_temperature,11,9.7,good,12,Bajra,2,Staple Grains
26.6,68.5,cold_storage,10,22.8,average,6,Bajra,1,Staple Grains
35.5,69.2,room_temperature,1,6.8,average,11,Bajra,2,Staple Grains
29.9,67.5,cold_storage,11,9.3,good,4,Bajra,0,Staple Grains
20.7,75.1,cold_storage,12,15.9,good,12,Bajra,0,Staple Grains
21.4,56.6,room_temperature,9,16.8,poor,7,Bajra,2,Staple Grains
33,57.3,room_temperature,11,16.5,average,8,Bajra,2,Staple Grains
34.1,73.9,room_temperature,10,6.7,average,12,Bajra,2,Staple Grains
23.3,86.7,cold_storage,1,17.2,average,5,Bajra,0,Staple Grains
30.6,62,cold_storage,8,9.7,average,3,Bajra,0,Staple Grains
21.6,79.2,open_air,6,3.5,average,7,Bajra,2,Staple Grains
26.6,67.4,cold_storage,2,20.2,poor,12,Bajra,0,Staple Grains
29.3,78.3,cold_storage,6,9.7,average,8,Bajra,1,Staple Grains
34.2,83.6,room_temperature,13,18.4,poor,2,Bajra,2,Staple Grains
20.3,61.6,cold_storage,10,18.7,good,10,Bajra,0,Staple Grains
25,55.6,cold_storage,4,18.7,average,7,Bajra,1,Staple Grains
36.5,85.2,cold_storage,6,8.5,average,5,Bajra,2,Staple Grains
20.8,70,cold_storage,9,13.1,average,10,Bajra,0,Staple Grains
27.3,61.3,room_temperature,11,13.9,average,5,Bajra,2,Staple Grains
27.2,60.6,room_temperature,2,21.8,poor,10,Bajra,2,Staple Grains
32.8,61.5,room_temperature,1,12.3,average,10,Bajra,2,Staple Grains
30.3,82,cold_storage,2,7.4,poor,12,Bajra,0,Staple Grains
25,61,room_temperature,4,24.9,average,5,Bajra,1,Staple Grains
32.4,86.9,room_temperature,2,10.6,good,8,Bajra,2,Staple Grains
36.7,65.3,room_temperature,7,18.4,poor,2,Bajra,2,Staple Grains
29.8,80.4,room_temperature,11,10.8,average,12,Bajra,1,Staple Grains
27.1,60.3,room_temperature,12,24.6,average,4,Bajra,2,Staple Grains
23.9,68.4,cold_storage,3,7.2,average,2,Bajra,0,Staple Grains
32.6,85.7,room_temperature,6,13.1,average,9,Bajra,2,Staple Grains
21,67.7,open_air,11,22.2,average,4,Bajra,2,Staple Grains
36.3,72.6,room_temperature,9,18.9,average,8,Bajra,2,Staple Grains
34.4,78.7,room_temperature,14,16.6,poor,12,Bajra,2,Staple Grains
23.1,55.4,room_temperature,9,19,poor,11,Bajra,2,Staple Grains
36.1,86.6,open_air,10,7.6,good,2,Bajra,2,Staple Grains
36.3,60.4,room_temperature,13,5.8,average,4,Bajra,2,Staple Grains
29.5,69.5,room_temperature,11,19,average,12,Bajra,2,Staple Grains
24,77.1,room_temperature,3,3.1,poor,1,Bajra,1,Staple Grains
32.8,76.8,open_air,6,9.3,poor,8,Bajra,2,Staple Grains
23.9,66.5,room_temperature,2,24,average,3,Bajra,1,Staple Grains
34.5,56.1,cold_storage,6,9.9,good,9,Bajra,1,Staple Grains
28.8,85.4,room_temperature,6,12.2,poor,9,Bajra,2,Staple Grains
31.8,62.3,room_temperature,2,10,poor,2,Bajra,2,Staple Grains
34,69.9,open_air,9,19.5,average,8,Bajra,2,Staple Grains
29.4,62.6,room_temperature,2,22.3,good,9,Bajra,1,Staple Grains
32.8,87.4,cold_storage,10,8.3,average,9,Bajra,2,Staple Grains
36.1,83.6,open_air,8,4.6,average,12,Bajra,2,Staple Grains
33.6,86.5,room_temperature,9,22.6,good,7,Bajra,2,Staple Grains
30.3,69.3,open_air,12,13.6,poor,7,Bajra,2,Staple Grains
36.5,63.4,cold_storage,6,14.3,average,11,Bajra,2,Staple Grains
33.7,79.6,room_temperature,7,4.1,average,10,Bajra,2,Staple Grains
32.4,67.2,open_air,5,9.7,good,6,Bajra,2,Staple Grains
33.4,71.3,cold_storage,5,3.2,average,12,Bajra,0,Staple Grains
22.1,85,room_temperature,3,7.9,average,5,Bajra,1,Staple Grains
27.3,68.5,cold_storage,14,11.2,average,4,Bajra,1,Staple Grains
30.9,72,room_temperature,10,16.4,poor,5,Bajra,2,Staple Grains
23.5,58.6,cold_storage,5,10.3,good,5,Bajra,0,Staple Grains
20.6,63.6,cold_storage,3,11.9,good,12,Bajra,0,Staple Grains
33.1,84,cold_storage,1,4.7,good,8,Bajra,0,Staple Grains
23.2,85.5,room_temperature,9,8.5,good,4,Bajra,1,Staple Grains
30.9,67.3,room_temperature,10,11.6,average,4,Bajra,2,Staple Grains
22.5,83.6,open_air,13,5.1,good,11,Bajra,2,Staple Grains
26.3,87.6,open_air,9,5,good,5,Bajra,2,Staple Grains
29.1,84.5,room_temperature,12,20,average,7,Bajra,2,Staple Grains
31.7,76.7,room_temperature,14,3.5,poor,9,Bajra,2,Staple Grains
23,66.2,cold_storage,5,14.3,poor,12,Bajra,0,Staple Grains
26.6,77.8,open_air,11,20.8,good,1,Bajra,2,Staple Grains
29,85.4,room_temperature,11,8.1,poor,3,Bajra,2,Staple Grains
31,70.7,room_temperature,4,22.4,poor,10,Bajra,2,Staple Grains
21.3,61.6,cold_storage,13,4.6,good,6,Bajra,0,Staple Grains
30.4,84.1,room_temperature,1,20.3,average,1,Bajra,1,Staple Grains
22,68.1,cold_storage,14,13.1,good,6,Bajra,0,Staple Grains
28,76.1,cold_storage,6,11.6,poor,1,Bajra,1,Staple Grains
24.7,86.9,open_air,1,6.9,poor,12,Bajra,2,Staple Grains
20.8,72.1,open_air,5,16,average,1,Bajra,1,Staple Grains
33.3,87.2,room_temperature,13,4.9,average,8,Bajra,2,Staple Grains
33.3,64.1,room_temperature,1,21,average,7,Bajra,2,Staple Grains
29.4,84,room_temperature,6,10.3,good,6,Bajra,1,Staple Grains
28.7,59.7,room_temperature,10,12.6,average,5,Bajra,2,Staple Grains
22.3,70.1,cold_storage,6,3.7,average,6,Bajra,0,Staple Grains
21.4,60.7,cold_storage,8,18.9,good,10,Bajra,0,Staple Grains
30.4,64.8,open_air,9,8.3,good,12,Bajra,2,Staple Grains
22.6,79.1,cold_storage,11,14.7,average,1,Bajra,0,Staple Grains
24.6,82,open_air,11,21.8,average,5,Bajra,2,Staple Grains
22.1,59.8,room_temperature,7,21.2,average,10,Bajra,2,Staple Grains
21.4,82,cold_storage,11,23.6,average,9,Bajra,1,Staple Grains
26.6,55.5,room_temperature,3,13.3,good,11,Bajra,0,Staple Grains
35.1,59.4,cold_storage,11,18.7,good,5,Bajra,2,Staple Grains
20.7,55.7,room_temperature,10,18.2,poor,1,Bajra,2,Staple Grains
33.7,76.1,room_temperature,13,7,good,11,Rice,2,Staple Grains
30,83.5,cold_storage,12,5.3,good,1,Rice,0,Staple Grains
22.1,65.3,room_temperature,7,11.1,average,4,Rice,1,Staple Grains
36.7,85.1,open_air,12,24.4,average,11,Rice,2,Staple Grains
29.7,72.5,cold_storage,14,12,average,9,Rice,1,Staple Grains
21.7,60.5,cold_storage,10,11,average,8,Rice,0,Staple Grains
32.8,68.9,room_temperature,3,11.6,poor,4,Rice,2,Staple Grains
20.7,64.2,cold_storage,8,11.6,average,4,Rice,0,Staple Grains
29.8,89.6,cold_storage,14,20.3,average,4,Rice,1,Staple Grains
28.5,67.4,cold_storage,4,19,good,8,Rice,0,Staple Grains
35.8,63.5,cold_storage,8,12.8,average,6,Rice,2,Staple Grains
28,65.5,open_air,14,6.5,poor,3,Rice,2,Staple Grains
21.3,89.6,open_air,4,13.2,good,1,Rice,1,Staple Grains
24.7,71,cold_storage,12,6.7,average,7,Rice,1,Staple Grains
33,86.8,room_temperature,13,16.9,good,2,Rice,2,Staple Grains
34.5,84.3,room_temperature,4,15,poor,4,Rice,2,Staple Grains
23.6,74,room_temperature,10,9.2,average,2,Rice,1,Staple Grains
36.9,56.4,room_temperature,4,23.6,average,5,Rice,2,Staple Grains
31.6,67.8,open_air,14,19.9,poor,3,Rice,2,Staple Grains
24.7,59.2,cold_storage,3,3.9,average,12,Rice,0,Staple Grains
30.1,83.2,cold_storage,1,4,good,6,Rice,0,Staple Grains
21.9,77.6,room_temperature,2,16.9,average,8,Rice,1,Staple Grains
36.6,67.8,cold_storage,5,14.5,average,9,Rice,2,Staple Grains
34.9,71.8,cold_storage,5,10.2,average,1,Rice,1,Staple Grains
23.2,72.8,open_air,4,18.4,poor,7,Rice,2,Staple Grains
24.6,85.7,cold_storage,7,8.6,average,8,Rice,1,Staple Grains
29,68.2,open_air,3,4.4,good,11,Rice,1,Staple Grains
34.7,87.5,room_temperature,1,24,average,10,Rice,2,Staple Grains
31.1,64.4,room_temperature,9,9.7,average,6,Rice,2,Staple Grains
25.6,86.5,room_temperature,2,20.5,average,4,Rice,1,Staple Grains
26.9,66.5,room_temperature,4,11.6,average,3,Rice,1,Staple Grains
30.2,90,room_temperature,5,20.9,good,2,Rice,1,Staple Grains
23.8,57.4,room_temperature,6,14.3,average,4,Rice,1,Staple Grains
20.9,71.4,cold_storage,3,15.9,average,7,Rice,0,Staple Grains
36.3,72.7,room_temperature,13,13.5,good,11,Rice,2,Staple Grains
25.7,73.8,open_air,4,9.5,average,6,Rice,2,Staple Grains
35.7,82,open_air,4,16.2,average,10,Rice,2,Staple Grains
29.3,57,open_air,8,15.3,average,8,Rice,2,Staple Grains
20.2,89.4,cold_storage,2,7.8,poor,3,Rice,0,Staple Grains
27.2,81.2,room_temperature,4,13.2,average,7,Rice,2,Staple Grains
26.8,64.1,cold_storage,14,11.2,average,4,Rice,1,Staple Grains
26,74.5,room_temperature,9,7.7,poor,4,Rice,2,Staple Grains
31.7,68.4,room_temperature,3,11.1,poor,5,Rice,2,Staple Grains
24,84.1,room_temperature,14,16.7,poor,7,Rice,2,Staple Grains
23.4,64,cold_storage,10,7.3,good,1,Rice,0,Staple Grains
24.4,59.3,room_temperature,1,22.9,average,4,Rice,1,Staple Grains
